,units,dropout,learning_rate,fold_1,fold_2,fold_3,avg_result
0,8,0.0,0.001,0.13911373913288116,0.30646228790283203,0.04558756574988365,0.16372119759519896
1,8,0.0,0.01,0.050173722207546234,0.028858376666903496,0.04640215262770653,0.04181141716738542
2,8,0.075,0.001,0.18642452359199524,0.5325908064842224,0.13756167888641357,0.2855256696542104
3,8,0.075,0.01,0.34654107689857483,0.27554985880851746,1.1473788022994995,0.5898232460021973
4,8,0.15,0.001,0.25734570622444153,0.9675732254981995,0.6456712484359741,0.6235300600528717
5,8,0.15,0.01,2.1698977947235107,0.8896045088768005,0.7298122048377991,1.2631048361460369
6,8,0.22499999999999998,0.001,0.5591160655021667,0.5418904423713684,0.43081650137901306,0.5106076697508494
7,8,0.22499999999999998,0.01,1.229554295539856,0.8842836618423462,0.8436422348022461,0.9858267307281494
8,8,0.3,0.001,0.5077428817749023,0.665981650352478,1.5469661951065063,0.9068969090779623
9,8,0.3,0.01,0.9775575995445251,1.8427703380584717,0.5392767190933228,1.1198682188987732
10,14,0.0,0.001,0.07310234755277634,0.04577920585870743,0.014741664752364159,0.04454107272128264
11,14,0.0,0.01,0.27730607986450195,0.597609281539917,0.13571856915950775,0.3368779768546422
12,14,0.075,0.001,0.3179987370967865,0.14297935366630554,0.4923248887062073,0.3177676598230998
13,14,0.075,0.01,0.7452894449234009,0.5191968083381653,1.2891714572906494,0.8512192368507385
14,14,0.15,0.001,0.6323695778846741,1.5574266910552979,0.49584975838661194,0.8952153424421946
15,14,0.15,0.01,1.0219167470932007,1.3364017009735107,0.3345005214214325,0.8976063231627146
16,14,0.22499999999999998,0.001,0.48108917474746704,1.629569411277771,0.5914349555969238,0.9006978472073873
17,14,0.22499999999999998,0.01,1.1622763872146606,1.2665644884109497,0.1872076839208603,0.8720161865154902
18,14,0.3,0.001,0.15332433581352234,1.7227591276168823,0.7896240949630737,0.8885691861311594
19,14,0.3,0.01,1.8757187128067017,0.3426768183708191,2.062431812286377,1.4269424478212993
20,20,0.0,0.001,0.11163915693759918,0.038720790296792984,0.05028491094708443,0.06688161939382553
21,20,0.0,0.01,0.357176274061203,0.10935022681951523,0.03910543769598007,0.1685439795255661
22,20,0.075,0.001,0.6693937182426453,0.5777598023414612,1.2913248538970947,0.8461594581604004
23,20,0.075,0.01,0.4490305185317993,0.25693079829216003,1.6493728160858154,0.7851113776365916
24,20,0.15,0.001,0.5853219628334045,1.0185608863830566,0.55604487657547,0.7199759085973104
25,20,0.15,0.01,1.269480586051941,0.7763429880142212,0.8551680445671082,0.9669972062110901
26,20,0.22499999999999998,0.001,0.37969398498535156,1.0079553127288818,1.1018013954162598,0.8298168977101644
27,20,0.22499999999999998,0.01,1.388763189315796,0.25819796323776245,1.3539499044418335,1.0003036856651306
28,20,0.3,0.001,0.39011624455451965,1.2722742557525635,0.6208043694496155,0.7610649565855662
29,20,0.3,0.01,0.1692299097776413,1.4011658430099487,3.100215196609497,1.5568703164656956
30,26,0.0,0.001,0.3006730079650879,0.04024648293852806,0.05957748368382454,0.13349899152914682
31,26,0.0,0.01,0.38744470477104187,0.06556995213031769,0.030231241136789322,0.1610819660127163
32,26,0.075,0.001,0.3359422981739044,0.6035140156745911,0.29140427708625793,0.4102868636449178
33,26,0.075,0.01,0.7217943668365479,0.22359603643417358,1.532172441482544,0.8258542815844218
34,26,0.15,0.001,0.3380891680717468,1.1441969871520996,0.17802898585796356,0.5534383803606033
35,26,0.15,0.01,0.45233601331710815,0.5930702090263367,1.1163581609725952,0.7205881277720133
36,26,0.22499999999999998,0.001,0.4102970063686371,0.9807806611061096,0.27193862199783325,0.5543387631575266
37,26,0.22499999999999998,0.01,0.5568837523460388,1.2024955749511719,1.8799318075180054,1.213103711605072
38,26,0.3,0.001,0.4891635477542877,0.6967772841453552,0.3712906241416931,0.5190771520137787
39,26,0.3,0.01,1.1261789798736572,1.157166838645935,0.8834520578384399,1.055599292119344
